,OSA,Healthy
C3a-O1a,-0.00040015207126521956,0.002287400121994338
C3a-O1s,-0.001965041828261212,-0.0016559780096480985
C3a-O1b,-0.0028995228660964266,-0.0025099835471528464
C3a-FRd,-0.0061438528682745495,-0.0048742195238999034
C3a-FRt,-0.005082639374439357,-0.0022359775199076236
C3a-FRa,-0.004733050774017465,-0.0005939358414908176
C3a-FRs,-0.007848870755164673,-0.004506894092967279
C3a-FRb,-0.009915954667886123,-0.0063762360580088455
C3a-C4d,-0.003767171621270418,-0.0024344519806821173
C3a-C4t,-0.004148521046323282,-0.0019706059089035478
C3a-C4a,-0.004997536716341512,-0.003182472237205313
C3a-C4s,-0.005459121069644205,-0.0027447968837533763
C3a-C4b,-0.007743454917235099,-0.00479779227469279
C3a-O2d,-0.003703603426814217,-0.0026741729921128223
C3a-O2t,-0.002083015852567634,-0.002218751449276258
C3a-O2a,-0.003387864874084441,-0.0029944162319411874
C3a-O2s,-0.0031169666397459555,-0.002925206040928746
C3a-O2b,-0.0003978865957897812,-0.00014299567589034292
C3s-C3b,0.0010303070366935708,0.0005019083172458379
C3s-O1d,-0.002385294547184463,-0.0024024343127222645
C3s-O1t,0.0007404536721445272,0.000427327785840267
C3s-O1a,0.0034174709675803897,0.00422922316343618
C3s-O1s,-0.0039682408072890096,0.0010554361710811185
C3s-O1b,0.0014484759200112513,0.0019488279742645768
C3s-FRd,-0.0038773087885707732,-0.0031032889711021367
C3s-FRt,-0.00373679522637071,-0.001978589659420939
C3s-FRa,-0.004395120757395203,-0.00195493590933299
C3s-FRs,-0.008343739726108225,-0.003871846944366635
C3s-FRb,-0.0005330749308767649,-0.00016094416718857933
C3s-C4d,-0.0024631805802723485,-0.0025462996553283304
C3s-C4t,-0.0018542157597088293,-0.001164839482325461
C3s-C4a,-0.0029968237822205384,-0.0017384930273985281
C3s-C4s,-0.005792461096755615,-0.0025257650810797242
C3s-C4b,-0.007296262358308122,-0.005111807074764448
C3s-O2d,-0.000248742487982668,0.00025530061475108383
C3s-O2t,-0.0005925062988621122,-0.0004207959450088135
C3s-O2a,0.00462575236756302,0.004302951222374634
C3s-O2s,-0.007520564546312373,-0.00489125284164208
C3s-O2b,0.0014196293348880122,0.0018501320036117814
C3b-O1d,0.0003388906569103534,0.0018493426920358769
C3b-O1t,-0.0007559298418100661,-0.0004408443999775852
C3b-O1a,0.001068014652080738,0.0005910027966608281
C3b-O1s,-0.0011951343196747906,-0.0015484087178964446
C3b-O1b,0.0036442887933610876,0.005525298706077053
C3b-FRd,-0.00453735866862685,-0.0023703277430683735
C3b-FRt,-0.005148644831869782,-0.002818540631681633
C3b-FRa,-0.0003406810842506547,-0.0007932285191195682
